date,kota_administrasi,kecamatan,kelurahan,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,jumlah_luka_ringan,ketinggian_min,ketinggian_max
29/10/2018,Jakarta Pusat,KEC. SAWAH BESAR,KEL. GUNUNG SAHARI UTARA,1,3,0,0,0,10,40
29/10/2018,Jakarta Barat,KEC. CENGKARENG,KEL. RAWA BUAYA,2,3,0,0,0,,
23/10/2018,Jakarta Timur,KEC. JATINEGARA,KEL. KAMPUNG MELAYU,4,21,212,711,0,30,80
29/10/2018,Jakarta Timur,KEC. JATINEGARA,KEL. BIDARA CINA,2,4,175,290,0,50,60
29/10/2018,Jakarta Timur,KEC. KRAMAT JATI,KEL. CAWANG,4,8,0,0,0,10,50
2/1/2018,Jakarta Barat,PENJARINGAN,KAMAL MUARA,2,12,0,0,0,20,30
3/1/2018,Jakarta Utara,KALIDERES,KAMAL,2,3,0,0,0,10,25
3/1/2018,Jakarta Utara,GROGOL PETAMBURAN,JELAMBAR BARU,1,2,0,0,0,15,15
3/1/2018,Jakarta Utara,GROGOL PETAMBURAN,JELAMBAR,1,1,0,0,0,20,20
18/01/2018,Jakarta Utara,KEMBANGAN,KEMBANGAN UTARA,4,2,0,0,0,5,20
18/01/2018,Jakarta Utara,CENGKARENG,KAPUK,9,21,0,0,0,5,30
18/01/2018,Jakarta Utara,CENGKARENG,RAWA BUAYA,2,1,0,0,0,15,20
18/01/2018,Jakarta Utara,CENGKARENG,CENGKARENG TIMUR,4,12,0,0,0,10,40
15/02/2018,Jakarta Pusat,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,3,7,0,0,0,10,35
15/02/2018,Jakarta Pusat,KEMAYORAN,SERDANG,2,6,0,0,0,10,50
1/2/2018,Jakarta Utara,PENJARINGAN,KAMAL MUARA,3,5,0,0,0,5,10
15/02/2018,Jakarta Utara,PENJARINGAN,PENJARINGAN,2,3,0,0,0,10,35
15/02/2018,Jakarta Utara,PENJARINGAN,KAPUK MUARA,1,1,0,0,0,5,15
15/02/2018,Jakarta Utara,CILINCING,SUKAPURA,2,8,7,30,30,10,50
15/02/2018,Jakarta Utara,KELAPA GADING,PEGANGSAAN DUA,1,1,30,100,100,60,70
15/02/2018,Jakarta Utara,KOJA,TUGU SELATAN,1,2,38,140,140,40,40
5/2/2018,Jakarta Barat,KALIDERES,TEGAL ALUR,16,143,0,0,0,20,30
15/02/2018,Jakarta Barat,KALIDERES,KAMAL,9,2,0,0,0,30,50
15/02/2018,Jakarta Barat,CENGKARENG,KAPUK,14,47,0,0,0,5,60
15/02/2018,Jakarta Barat,CENGKARENG,RAWA BUAYA,4,15,0,0,0,5,30
15/02/2018,Jakarta Barat,CENGKARENG,DURI KOSAMBI,1,1,0,0,0,10,50
15/02/2018,Jakarta Barat,CENGKARENG,CENGKARENG BARAT,6,13,0,0,0,10,80
15/02/2018,Jakarta Barat,CENGKARENG,CENGKARENG TIMUR,5,39,0,0,0,10,80
15/02/2018,Jakarta Barat,KEMBANGAN,KEMBANGAN UTARA,2,3,0,0,0,15,30
15/02/2018,Jakarta Barat,KEBON JERUK,DURI KEPA,5,4,0,0,0,15,60
15/02/2018,Jakarta Barat,GROGOL PETAMBURAN,WIJAYA KUSUMA,2,2,0,0,0,10,50
15/02/2018,Jakarta Barat,GROGOL PETAMBURAN,JELAMBAR BARU,1,0,0,0,0,10,30
15/02/2018,Jakarta Barat,PALMERAH,JATI PULO,1,3,0,0,0,30,50
5/2/2018,Jakarta Selatan,CILANDAK,PONDOK LABU,1,1,98,480,0,40,50
5/2/2018,Jakarta Selatan,PANCORAN,PANGADEGAN,2,6,600,2993,3200,10,300
5/2/2018,Jakarta Selatan,PANCORAN,RAWA JATI,3,8,464,1509,2008,10,250
5/2/2018,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,4,10,324,962,1811,30,200
5/2/2018,Jakarta Selatan,TEBET,KEBON BARU,1,1,0,0,1278,20,80
5/2/2018,Jakarta Selatan,TEBET,MANGGARAI,2,5,540,2347,2119,30,200
6/2/2018,Jakarta Selatan,TEBET,BUKIT DURI,2,12,0,0,0,10,40
5/2/2018,Jakarta Selatan,JAGAKARSA,LENTENG AGUNG,5,0,0,0,0,50,200
5/2/2018,Jakarta Selatan,JAGAKARSA,SRENGSENG SAWAH,7,12,113,265,0,100,300
5/2/2018,Jakarta Selatan,MAMPANG PRAPATAN,BANGKA,1,1,0,0,0,30,40
6/2/2018,Jakarta Timur,MATRAMAN,KEBON MANGGIS,2,8,41,414,414,20,80
17/05/2018,Jakarta Barat,KEC. KALIDERES,KEL. KAMAL,1,2,0,0,0,20,20
3/5/2018,Jakarta Selatan,KEC. PASAR MINGGU,KEL. JATI PADANG,5,10,0,0,0,10,40
3/5/2018,Jakarta Selatan,KEC. PASAR MINGGU,KEL. RAGUNAN,2,2,0,0,0,10,30
3/5/2018,Jakarta Selatan,KEC. PASAR MINGGU,KEL. CILANDAK TIMUR,5,4,7,20,9,10,120
21/05/2018,Jakarta Selatan,KEC. PASAR MINGGU,KEL. PEJATEN TIMUR,4,5,0,0,0,10,50
3/5/2018,Jakarta Selatan,KEC. MAMPANG PRAPATAN,KEL. BANGKA,4,7,20,60,60,100,150
3/5/2018,Jakarta Selatan,KEC. PANCORAN,KEL. DUREN TIGA,3,4,0,0,0,10,60
21/05/2018,Jakarta Selatan,KEC. PANCORAN,KEL. RAWAJATI,1,3,0,0,0,30,60
21/05/2018,Jakarta Selatan,KEC. PANCORAN,KEL. PENGADEGAN,1,1,0,0,0,10,50
3/5/2018,Jakarta Selatan,KEC. CILANDAK,KEL. PONDOK LABU,4,4,0,0,0,10,80
3/5/2018,Jakarta Selatan,KEC. CILANDAK,KEL. CIPETE SELATAN,2,2,0,0,0,20,40
3/5/2018,Jakarta Selatan,KEC. KEBAYORAN BARU,KEL. PETOGOGAN,1,4,0,0,0,40,40
21/05/2018,Jakarta Selatan,KEC. TEBET,KEL. KEBON BARU,1,1,0,0,0,10,20
20/05/2018,Jakarta Timur,KEC. JATINEGARA,KEL. KAMPUNG MELAYU,4,25,187,636,0,10,100
21/05/2018,Jakarta Timur,KEC. JATINEGARA,KEL. BIDARA CINA,2,5,0,0,0,70,110
20/05/2018,Jakarta Timur,KEC. KRAMAT JATI,KEL. CAWANG,5,19,0,0,0,10,70
21/05/2018,Jakarta Timur,KEC. KRAMAT JATI,KEL. CILILITAN,2,3,0,0,0,10,30
3/2/2018,Jakarta Timur,CAKUNG,RAWA TERATE,2,3,0,0,0,10,120
15/02/2018,Jakarta Timur,CAKUNG,CAKUNG BARAT,3,10,18,56,46,30,70
15/02/2018,Jakarta Timur,CAKUNG,JATINEGARA,9,14,0,0,0,10,30
3/2/2018,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,8,55,983,3074,1392,10,220
5/2/2018,Jakarta Timur,JATINEGARA,BIDARA CINA,9,32,876,2642,553,10,250
5/2/2018,Jakarta Timur,JATINEGARA,CIPINANG MUARA,1,3,0,0,0,10,120
5/2/2018,Jakarta Timur,MAKASAR,CIPINANG MELAYU,3,13,0,0,0,20,90
5/2/2018,Jakarta Timur,MAKASAR,MAKASAR,1,2,0,0,0,20,50
5/2/2018,Jakarta Timur,KRAMAT JATI,CAWANG,6,27,1066,3584,557,20,270
5/2/2018,Jakarta Timur,KRAMAT JATI,CILILITAN,5,10,251,806,350,30,250
5/2/2018,Jakarta Timur,KRAMAT JATI,BALE KAMBANG,3,9,18,54,1560,60,300
5/2/2018,Jakarta Timur,PASAR REBO,GEDONG,1,1,0,0,0,50,150
25/06/2018,Jakarta Selatan,KEC. PASAR MINGGU,KEL. PEJATEN TIMUR,4,7,0,0,0,10,30
25/06/2018,Jakarta Selatan,KEC. PANCORAN,KEL. PENGADEGAN,1,1,0,0,0,10,15
25/06/2018,Jakarta Selatan,KEC. KEBAYORAN LAMA,KEL. PONDOK PINANG,1,1,0,0,0,30,60
25/06/2018,Jakarta Selatan,KEC. KEBAYORAN LAMA,KEL. CIPULIR,1,1,0,0,0,10,30
24/06/2018,Jakarta Timur,KEC. JATINEGARA,KEL. KAMPUNG MELAYU,5,27,327,1065,0,10,100
25/06/2018,Jakarta Timur,KEC. JATINEGARA,KEL. BIDARA CINA,2,8,0,0,0,50,75
24/06/2018,Jakarta Timur,KEC. KRAMAT JATI,KEL. CAWANG,3,3,0,0,0,10,20
25/06/2018,Jakarta Timur,KEC. KRAMAT JATI,KEL. CILILITAN,1,1,1,3,0,10,30
4/3/2018,Jakarta Selatan,PANCORAN,RAWAJATI,1,4,0,0,0,30,80
4/3/2018,Jakarta Selatan,PASAR MINGGU,PEJATEN TIMUR,3,3,0,0,0,10,50
4/3/2018,Jakarta Selatan,TEBET,KEBON BARU,1,1,0,0,0,30,30
4/3/2018,Jakarta Timur,JATINEGARA,BIDARA CINA,2,3,0,0,0,10,50
4/3/2018,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,5,26,303,1000,0,10,100
4/3/2018,Jakarta Timur,KRAMAT JATI,CAWANG,5,0,0,0,0,10,50
4/3/2018,Jakarta Timur,KRAMAT JATI,CILILITAN,2,0,0,0,0,50,100
12/3/2018,Jakarta Timur,MAKASAR,CIPINANG MELAYU,2,9,0,0,0,10,10
22/04/2018,Jakarta Selatan,PESANGGRAHAN,ULUJAMI,1,1,0,0,0,,
4/4/2018,Jakarta Timur,CAKUNG,JATINEGARA,1,1,0,0,0,50,90
18/04/2018,Jakarta Timur,CAKUNG,PENGGILINGAN,1,1,0,0,0,20,30
4/4/2018,Jakarta Timur,MAKASAR,CIPINANG MELAYU,2,3,0,0,0,5,10
4/4/2018,Jakarta Timur,PULOGADUNG,RAWAMANGUN,1,1,0,0,0,20,50
8/4/2018,Jakarta Timur,JATINEGARA,KAMPUNG MELAYU,5,27,300,988,0,5,60
8/4/2018,Jakarta Timur,JATINEGARA,BIDARA CINA,3,6,0,0,0,10,35
8/4/2018,Jakarta Timur,KRAMAT JATI,CAWANG,5,21,0,0,0,10,60
26/11/2018,Jakarta Utara,KEC. PENJARINGAN,KEL. PLUIT,1,1,0,0,0,2,15
